"","from","to","database","source"
"3738","PPBP","OPRD1","omnipath","omnipath"
"3739","PPBP","CXCR1","omnipath","omnipath"
"3740","PPBP","ACKR1","omnipath","omnipath"
"3741","PPBP","MTNR1A","omnipath","omnipath"
"3742","PPBP","GRM7","omnipath","omnipath"
"3743","PPBP","ADRA2A","omnipath","omnipath"
"3744","PPY","NPFFR1","nichenet_verschueren","nichenet_verschueren"
"3745","PPY","NPFFR2","nichenet_verschueren","nichenet_verschueren"
"3746","PPY","NPY4R2","nichenet_verschueren","nichenet_verschueren"
"3747","PPY","NPY4R","omnipath","omnipath"
"3748","PPY","NPY5R","omnipath","omnipath"
"3749","PPY","ADRA2A","omnipath","omnipath"
"3750","PPY","MTNR1A","omnipath","omnipath"
"3751","PPY","NPY2R","omnipath","omnipath"
"3752","PPY","GRM7","omnipath","omnipath"
"3753","PPY","NPY1R","omnipath","omnipath"
"3754","PRG4","CD44","omnipath","omnipath"
"3755","PRG4","TLR2","omnipath","omnipath"
"3756","PRG4","TLR4","omnipath","omnipath"
"3757","PRL","PRLR","omnipath","omnipath"
"3758","PRL","ERBB2","omnipath","omnipath"
"3759","PRLH","PRLHR","omnipath","omnipath"
"3760","PRND","RPSA","nichenet_verschueren","nichenet_verschueren"
"3761","PRND","RPSAP58","nichenet_verschueren","nichenet_verschueren"
"3762","PRNP","TNFRSF25","omnipath","omnipath"
"3763","PRNP","NCAM1","omnipath","omnipath"
"3764","PROC","F7","omnipath","omnipath"
"3765","PROC","F5","omnipath","omnipath"
"3766","PROC","ITGAM","omnipath","omnipath"
"3767","PROC","ITGB2","omnipath","omnipath"
"3768","PROC","THBD","omnipath","omnipath"
"3769","PROC","PROCR","omnipath","omnipath"
"3770","PROC","TEK","omnipath","omnipath"
"3771","PROC","F8","omnipath","omnipath"
"3772","PROK1","PROKR1","omnipath","omnipath"
"3773","PROK1","PROKR2","omnipath","omnipath"
"3774","PROK2","PROKR1","omnipath","omnipath"
"3775","PROK2","PROKR2","omnipath","omnipath"
"3776","PROS1","AXL","omnipath","omnipath"
"3777","PROS1","TYRO3","omnipath","omnipath"
"3778","PROS1","MERTK","omnipath","omnipath"
"3779","PROS1","F5","omnipath","omnipath"
"3780","PROS1","PROC","omnipath","omnipath"
"3781","PROS1","F8","omnipath","omnipath"
"3782","PRRG4","CADM4","omnipath","omnipath"
"3783","PRSS1","F2RL1","omnipath","omnipath"
"3784","PRSS1","F2R","omnipath","omnipath"
"3785","PRSS1","F2RL2","omnipath","omnipath"
"3786","PRSS1","F2RL3","omnipath","omnipath"
"3787","PRSS2","F2RL1","omnipath","omnipath"
"3788","PRSS2","F2R","omnipath","omnipath"
"3789","PRSS2","F2RL2","omnipath","omnipath"
"3790","PRSS2","F2RL3","omnipath","omnipath"
"3791","PRSS3","F2RL1","omnipath","omnipath"
"3792","PRSS3","F2R","omnipath","omnipath"
"3793","PRSS3","F2RL2","omnipath","omnipath"
"3794","PRSS3","F2RL3","omnipath","omnipath"
"3795","PRSS55","LRRC4","nichenet_verschueren","nichenet_verschueren"
"3796","PSAP","GPR37","omnipath","omnipath"
"3797","PSAP","GPR37L1","omnipath","omnipath"
"3798","PSAP","LRP1","omnipath","omnipath"
"3799","PSAP","SORT1","omnipath","omnipath"
"3800","PSAP","CD1B","omnipath","omnipath"
"3801","PSAP","CELSR1","omnipath","omnipath"
"3802","PSEN1","CDH1","omnipath","omnipath"
"3803","PSEN1","NCSTN","omnipath","omnipath"
"3804","PSEN1","NOTCH1","omnipath","omnipath"
"3805","PSEN1","NOTCH4","omnipath","omnipath"
