"","from","to","database","source"
"1923","Fgb","Itgb1","omnipath","omnipath"
"1924","Fgb","Itgb2","omnipath","omnipath"
"1925","Fgb","Itgb2l","omnipath","omnipath"
"1926","Fgb","Itgb3","omnipath","omnipath"
"1927","Fgb","Tlr4","omnipath","omnipath"
"1928","Fgf1","Fgfr1","omnipath","omnipath"
"1929","Fgf1","Fgfr2","omnipath","omnipath"
"1930","Fgf1","Fgfr3","omnipath","omnipath"
"1931","Fgf1","Fgfr4","omnipath","omnipath"
"1932","Fgf1","Nrp1","omnipath","omnipath"
"1933","Fgf10","Fgfr1","omnipath","omnipath"
"1934","Fgf10","Fgfr2","omnipath","omnipath"
"1935","Fgf10","Fgfr3","nichenet_verschueren","nichenet_verschueren"
"1936","Fgf10","Fgfr4","nichenet_verschueren","nichenet_verschueren"
"1937","Fgf10","Fgfrl1","omnipath","omnipath"
"1938","Fgf11","Fgfr1","omnipath","omnipath"
"1939","Fgf11","Fgfr2","omnipath","omnipath"
"1940","Fgf11","Fgfr3","omnipath","omnipath"
"1941","Fgf11","Fgfr4","omnipath","omnipath"
"1942","Fgf11","Scn10a","omnipath","omnipath"
"1943","Fgf11","Scn11a","omnipath","omnipath"
"1944","Fgf11","Scn1a","omnipath","omnipath"
"1945","Fgf11","Scn2a","omnipath","omnipath"
"1946","Fgf11","Scn3a","omnipath","omnipath"
"1947","Fgf11","Scn4a","omnipath","omnipath"
"1948","Fgf11","Scn5a","omnipath","omnipath"
"1949","Fgf11","Scn8a","omnipath","omnipath"
"1950","Fgf11","Scn9a","omnipath","omnipath"
"1951","Fgf12","Fgfr1","omnipath","omnipath"
"1952","Fgf12","Fgfr2","omnipath","omnipath"
"1953","Fgf12","Fgfr3","omnipath","omnipath"
"1954","Fgf12","Fgfr4","omnipath","omnipath"
"1955","Fgf12","Scn10a","omnipath","omnipath"
"1956","Fgf12","Scn11a","omnipath","omnipath"
"1957","Fgf12","Scn1a","omnipath","omnipath"
"1958","Fgf12","Scn2a","omnipath","omnipath"
"1959","Fgf12","Scn3a","omnipath","omnipath"
"1960","Fgf12","Scn4a","omnipath","omnipath"
"1961","Fgf12","Scn5a","omnipath","omnipath"
"1962","Fgf12","Scn8a","omnipath","omnipath"
"1963","Fgf12","Scn9a","omnipath","omnipath"
"1964","Fgf13","Egfr","omnipath","omnipath"
"1965","Fgf13","Fgfr1","omnipath","omnipath"
"1966","Fgf13","Fgfr2","omnipath","omnipath"
"1967","Fgf13","Fgfr3","omnipath","omnipath"
"1968","Fgf13","Fgfr4","omnipath","omnipath"
"1969","Fgf13","Scn10a","omnipath","omnipath"
"1970","Fgf13","Scn11a","omnipath","omnipath"
"1971","Fgf13","Scn1a","omnipath","omnipath"
"1972","Fgf13","Scn2a","omnipath","omnipath"
"1973","Fgf13","Scn3a","omnipath","omnipath"
"1974","Fgf13","Scn4a","omnipath","omnipath"
"1975","Fgf13","Scn5a","omnipath","omnipath"
"1976","Fgf13","Scn8a","omnipath","omnipath"
"1977","Fgf13","Scn9a","omnipath","omnipath"
"1978","Fgf14","Fgfr1","omnipath","omnipath"
"1979","Fgf14","Fgfr2","omnipath","omnipath"
"1980","Fgf14","Fgfr3","omnipath","omnipath"
"1981","Fgf14","Fgfr4","omnipath","omnipath"
"1982","Fgf14","Scn10a","omnipath","omnipath"
"1983","Fgf14","Scn11a","omnipath","omnipath"
"1984","Fgf14","Scn1a","omnipath","omnipath"
"1985","Fgf14","Scn2a","omnipath","omnipath"
"1986","Fgf14","Scn3a","omnipath","omnipath"
"1987","Fgf14","Scn4a","omnipath","omnipath"
"1988","Fgf14","Scn5a","omnipath","omnipath"
"1989","Fgf14","Scn8a","omnipath","omnipath"
"1990","Fgf14","Scn9a","omnipath","omnipath"
"1991","Fgf15","Fgfr1","omnipath","omnipath"
"1992","Fgf15","Fgfr2","omnipath","omnipath"
"1993","Fgf15","Fgfr3","omnipath","omnipath"
"1994","Fgf15","Fgfr4","omnipath","omnipath"
"1995","Fgf15","Klb","omnipath","omnipath"
